Role,,Company_Type,Industry,,Location_Tier,Experience_Level,Job_Type,,Salary_LPA,Skills_Required,Education_Required
Data Scientist,,Startup,Banking & Finance,,Tier 1,Mid (3-6 yrs),Full-Time,,19.7,"Tableau, NLP, Scikit-learn, Python, Deep Learning, Statistics",PhD
Full Stack Developer,,Startup,FinTech,,Tier 1,Fresher (0-1 yr),Full-Time,,5.1,"PostgreSQL, AWS, Python",M.Tech/M.E.
React Developer,,Startup,EdTech,,Remote,Mid (3-6 yrs),Full-Time,,27.1,"TypeScript, Redux, React",BCA
DevOps Engineer,,Startup,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,5.1,"AWS, Kubernetes, Docker",M.Tech/M.E.
iOS Developer,,Startup,Information Technology,,Tier 2,Senior (6-10 yrs),Full-Time,,39.7,"Swift, REST APIs, SwiftUI",B.Tech/B.E.
Frontend Developer,,PSU/Govt,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,17.5,"HTML/CSS, React, Tailwind CSS",PhD
Product Manager,,Startup,FinTech,,Remote,Mid (3-6 yrs),Part-Time,,20.6,"Agile, Roadmapping, SQL, JIRA, A/B Testing",BCA
Engineering Manager,,MNC,EdTech,,Remote,Mid (3-6 yrs),Internship,,1.2,"System Design, People Management, Roadmapping, Agile",MCA
Technical Lead,,Indian Unicorn,Information Technology,,Tier 1,Junior (1-3 yrs),Part-Time,,11,"Team Leadership, System Design, AWS, Agile, Code Review, Microservices",MCA
Power BI Developer,,Startup,Manufacturing,,Tier 2,Fresher (0-1 yr),Internship,,1.1,"Power BI, Excel, ETL",B.Tech/B.E.
Machine Learning Engineer,,Indian Unicorn,Banking & Finance,,Remote,Fresher (0-1 yr),Full-Time,,8.2,"Kubernetes, Docker, MLOps, TensorFlow",BCA
Software Engineer,,Startup,EdTech,,Tier 1,Fresher (0-1 yr),Internship,,1.4,"Data Structures, C++, Algorithms, Git, Java, REST APIs",M.Tech/M.E.
Cybersecurity Analyst,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,4.3,"SIEM, Network Security, Penetration Testing, Ethical Hacking, Python",M.Tech/M.E.
Frontend Developer,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Contract,,9.9,"TypeScript, Figma, HTML/CSS",MCA
React Developer,,Indian Unicorn,Information Technology,,Tier 2,Mid (3-6 yrs),Full-Time,,20.4,"Next.js, Redux, JavaScript, React",M.Tech/M.E.
Machine Learning Engineer,,MNC,Information Technology,,Tier 2,Junior (1-3 yrs),Full-Time,,10.2,"Scikit-learn, Docker, AWS",MCA
Data Analyst,,Indian Unicorn,Logistics,,Remote,Mid (3-6 yrs),Contract,,20.9,"SQL, Data Visualization, Power BI",B.Tech/B.E.
Engineering Manager,,MNC,E-Commerce,,Tier 2,Junior (1-3 yrs),Part-Time,,9.6,"OKRs, System Design, People Management, Hiring, Roadmapping",B.Tech/B.E.
MLOps Engineer,,MNC,Banking & Finance,,Tier 1,Fresher (0-1 yr),Full-Time,,7,"CI/CD, Airflow, Docker, Python, Kubernetes, MLflow",B.Tech/B.E.
Frontend Developer,,Startup,FinTech,,Tier 1,Junior (1-3 yrs),Full-Time,,10,"Next.js, Figma, React, Tailwind CSS, HTML/CSS",M.Tech/M.E.
Blockchain Developer,,Indian Unicorn,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,15.9,"Ethereum, Solidity, Web3.js",MCA
Software Engineer,,Startup,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,51,"Data Structures, Git, System Design, Java, Algorithms, REST APIs",MCA
Software Engineer,,MNC,Media & Entertainment,,Remote,Mid (3-6 yrs),Full-Time,,18.4,"Python, Java, C++, System Design, Algorithms, Git",B.Tech/B.E.
React Developer,,MNC,Consulting,,Tier 1,Junior (1-3 yrs),Part-Time,,7.9,"JavaScript, HTML/CSS, Next.js, React, TypeScript, Redux",BCA
iOS Developer,,Indian Unicorn,EdTech,,Tier 2,Lead (10+ yrs),Full-Time,,66.3,"REST APIs, SwiftUI, Firebase",M.Tech/M.E.
Android Developer,,Startup,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,6.6,"Jetpack Compose, Java, Firebase, Kotlin, REST APIs, Android SDK",B.Tech/B.E.
React Developer,,MNC,Manufacturing,,Tier 1,Mid (3-6 yrs),Full-Time,,17,"React, Redux, TypeScript, Next.js",M.Tech/M.E.
Backend Developer,,PSU/Govt,Information Technology,,Tier 1,Lead (10+ yrs),Full-Time,,20.6,"Django, Redis, FastAPI, Docker, PostgreSQL, Python",B.Tech/B.E.
Machine Learning Engineer,,PSU/Govt,FinTech,,Tier 2,Senior (6-10 yrs),Full-Time,,20.5,"Scikit-learn, Docker, MLOps, PyTorch",M.Tech/M.E.
Software Engineer,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,11.6,"REST APIs, Data Structures, System Design, C++, Algorithms, Git",M.Tech/M.E.
Business Analyst,,Startup,Information Technology,,Tier 2,Lead (10+ yrs),Full-Time,,72.5,"SQL, Requirements Gathering, Agile, Excel",MCA
Java Developer,,PSU/Govt,HealthTech,,Remote,Senior (6-10 yrs),Full-Time,,15.4,"Microservices, Spring Boot, SQL, Java, Hibernate",MCA
Node.js Developer,,PSU/Govt,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,11.9,"Express.js, Node.js, MongoDB, REST APIs",B.Tech/B.E.
React Developer,,MNC,Logistics,,Tier 1,Senior (6-10 yrs),Full-Time,,28.8,"Next.js, HTML/CSS, JavaScript, React, Redux",B.Tech/B.E.
Power BI Developer,,Startup,Automobile,,Remote,Mid (3-6 yrs),Full-Time,,18,"ETL, Azure, Excel",B.Tech/B.E.
Research Scientist,,MNC,Banking & Finance,,Remote,Fresher (0-1 yr),Full-Time,,7.2,"PyTorch, Publications, NLP, R, Deep Learning, Statistics",M.Tech/M.E.
Blockchain Developer,,Indian Unicorn,E-Commerce,,Tier 1,Mid (3-6 yrs),Full-Time,,21.3,"Python, Ethereum, Solidity, Web3.js",B.Tech/B.E.
Machine Learning Engineer,,PSU/Govt,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,7.4,"TensorFlow, Scikit-learn, Kubernetes, AWS",B.Sc (CS/IT)
Java Developer,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,3.6,"Microservices, SQL, Spring Boot, Java, REST APIs",B.Tech/B.E.
Data Scientist,,Indian Unicorn,Consulting,,Tier 2,Senior (6-10 yrs),Full-Time,,65.2,"Python, Statistics, Tableau, NLP",B.Tech/B.E.
Java Developer,,Indian Unicorn,HealthTech,,Tier 1,Junior (1-3 yrs),Internship,,2.9,"Maven, SQL, Java, Spring Boot, REST APIs, Microservices",B.Tech/B.E.
Data Analyst,,Startup,Telecom,,Tier 1,Junior (1-3 yrs),Full-Time,,11.7,"Data Visualization, Excel, SQL",B.Tech/B.E.
Data Scientist,,MNC,Information Technology,,Tier 1,Fresher (0-1 yr),Contract,,6.7,"Statistics, Machine Learning, Tableau, NLP",B.Sc (CS/IT)
Software Engineer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Contract,,17.2,"REST APIs, Data Structures, C++, Git",B.Tech/B.E.
Data Analyst,,MNC,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,5,"SQL, Power BI, Data Visualization",B.Tech/B.E.
Full Stack Developer,,Indian Unicorn,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,11.7,"Node.js, PostgreSQL, Python, MongoDB, Docker, React",B.Tech/B.E.
iOS Developer,,Startup,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,16.3,"REST APIs, Swift, Xcode, Firebase, SwiftUI, Core Data",B.Tech/B.E.
Software Engineer,,Startup,Banking & Finance,,Tier 1,Mid (3-6 yrs),Full-Time,,20.6,"Algorithms, REST APIs, Git, System Design",B.Tech/B.E.
Machine Learning Engineer,,MNC,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,26.5,"TensorFlow, Docker, AWS, Scikit-learn",B.Tech/B.E.
Cloud Engineer,,MNC,FinTech,,Tier 2,Senior (6-10 yrs),Full-Time,,24.9,"Terraform, Docker, AWS, Azure, Linux, Kubernetes",MCA
Software Engineer,,Startup,E-Commerce,,Tier 1,Junior (1-3 yrs),Full-Time,,10.1,"Python, Data Structures, Git, Java, C++, REST APIs",PhD
Backend Developer,,MNC,HealthTech,,Tier 2,Junior (1-3 yrs),Full-Time,,8.3,"Node.js, Django, PostgreSQL, MongoDB, Python, Redis",B.Tech/B.E.
Software Engineer,,Startup,E-Commerce,,Tier 1,Fresher (0-1 yr),Contract,,5.2,"Java, REST APIs, System Design",B.Tech/B.E.
Software Engineer,,Startup,Government/PSU,,Tier 2,Junior (1-3 yrs),Full-Time,,13.9,"REST APIs, Git, Python, Algorithms, Java, Data Structures",B.Sc (CS/IT)
Java Developer,,MNC,E-Commerce,,Tier 2,Junior (1-3 yrs),Contract,,9.5,"Spring Boot, Java, Maven, REST APIs, Microservices",MCA
DevOps Engineer,,PSU/Govt,Information Technology,,Tier 2,Mid (3-6 yrs),Internship,,2.5,"Jenkins, Linux, Kubernetes, AWS, Docker",B.Tech/B.E.
Java Developer,,MNC,EdTech,,Remote,Mid (3-6 yrs),Full-Time,,20.1,"Maven, SQL, Hibernate",MCA
Backend Developer,,Indian Unicorn,Gaming,,Tier 1,Mid (3-6 yrs),Full-Time,,20,"Python, Docker, Java, Redis, Node.js",M.Tech/M.E.
Java Developer,,MNC,Media & Entertainment,,Remote,Lead (10+ yrs),Full-Time,,54.5,"Microservices, Hibernate, Java, REST APIs, Spring Boot",M.Tech/M.E.
Backend Developer,,MNC,Manufacturing,,Tier 1,Mid (3-6 yrs),Full-Time,,17.4,"Redis, MongoDB, PostgreSQL, FastAPI, Node.js",M.Tech/M.E.
React Developer,,Indian Unicorn,Information Technology,,Tier 2,Lead (10+ yrs),Full-Time,,73,"JavaScript, Next.js, HTML/CSS, TypeScript, Redux",MCA
Android Developer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Internship,,2.8,"Java, Firebase, Kotlin, Jetpack Compose",B.Tech/B.E.
Data Analyst,,Startup,EdTech,,Tier 1,Senior (6-10 yrs),Internship,,1.7,"Data Visualization, Power BI, Excel, Statistics, Tableau",MCA
Frontend Developer,,Startup,Banking & Finance,,Tier 1,Senior (6-10 yrs),Full-Time,,37,"Next.js, JavaScript, React",B.Tech/B.E.
Software Engineer,,MNC,FinTech,,Remote,Junior (1-3 yrs),Full-Time,,11.4,"Data Structures, Git, Algorithms, System Design, Python",B.Tech/B.E.
Product Manager,,Startup,HealthTech,,Tier 1,Fresher (0-1 yr),Contract,,5,"User Research, Roadmapping, A/B Testing, Product Strategy, Agile",B.Sc (CS/IT)
Data Analyst,,MNC,Information Technology,,Tier 1,Fresher (0-1 yr),Part-Time,,3.9,"Tableau, Power BI, Data Visualization, SQL",B.Tech/B.E.
AI Engineer,,PSU/Govt,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,11.7,"NLP, RAG, OpenAI API, Vector DBs",M.Tech/M.E.
Python Developer,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,9,"PostgreSQL, AWS, REST APIs, Python, Django, FastAPI",MBA
Data Scientist,,MNC,Gaming,,Tier 1,Lead (10+ yrs),Part-Time,,64.9,"Deep Learning, NLP, TensorFlow, Python, Tableau",MBA
Software Engineer,,Startup,Gaming,,Tier 1,Lead (10+ yrs),Full-Time,,66,"Algorithms, Java, System Design",MBA
Backend Developer,,PSU/Govt,EdTech,,Tier 2,Junior (1-3 yrs),Internship,,2.8,"Node.js, PostgreSQL, Python",M.Tech/M.E.
Frontend Developer,,MNC,E-Commerce,,Remote,Fresher (0-1 yr),Full-Time,,5.1,"TypeScript, Figma, HTML/CSS, Tailwind CSS",BCA
Product Manager,,Startup,Banking & Finance,,Remote,Senior (6-10 yrs),Contract,,38.6,"JIRA, Roadmapping, User Research, Product Strategy",BCA
Node.js Developer,,Indian Unicorn,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,17.8,"Express.js, JavaScript, REST APIs, Node.js, TypeScript, MongoDB",B.Tech/B.E.
Java Developer,,MNC,HealthTech,,Tier 2,Fresher (0-1 yr),Internship,,1.8,"Microservices, Hibernate, Maven, Spring Boot",B.Tech/B.E.
Software Engineer,,PSU/Govt,Information Technology,,Tier 1,Fresher (0-1 yr),Part-Time,,4,"Algorithms, Python, Java, C++, Git, System Design",M.Tech/M.E.
iOS Developer,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Internship,,2.9,"Swift, REST APIs, Firebase",B.Com + Certification
Java Developer,,Startup,EdTech,,Tier 1,Mid (3-6 yrs),Contract,,24.7,"Maven, Microservices, Java, SQL, Hibernate",PhD
Computer Vision Engineer,,MNC,Media & Entertainment,,Remote,Senior (6-10 yrs),Full-Time,,32.6,"TensorFlow, OpenCV, Deep Learning",B.Tech/B.E.
Software Engineer,,MNC,Government/PSU,,Tier 1,Fresher (0-1 yr),Full-Time,,3.8,"REST APIs, Java, System Design, Data Structures, Algorithms",B.Tech/B.E.
MLOps Engineer,,Indian Unicorn,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,8.4,"Docker, Airflow, MLflow",M.Tech/M.E.
React Developer,,MNC,E-Commerce,,Remote,Senior (6-10 yrs),Internship,,0.8,"Redux, HTML/CSS, TypeScript, Next.js",B.Tech/B.E.
Data Scientist,,MNC,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,16.1,"TensorFlow, Tableau, Python, NLP, Scikit-learn",M.Tech/M.E.
Product Manager,,MNC,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,10.7,"User Research, SQL, Product Strategy, JIRA",B.Tech/B.E.
Backend Developer,,Indian Unicorn,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,10.1,"MongoDB, Java, PostgreSQL, Redis, Python, FastAPI",B.Tech/B.E.
Node.js Developer,,Startup,FinTech,,Tier 2,Junior (1-3 yrs),Full-Time,,11.6,"MongoDB, Node.js, REST APIs, Express.js",MCA
Power BI Developer,,Indian Unicorn,Manufacturing,,Tier 1,Junior (1-3 yrs),Full-Time,,11.4,"DAX, Power BI, Azure, Data Modeling",B.Tech/B.E.
Backend Developer,,Startup,Banking & Finance,,Tier 2,Mid (3-6 yrs),Full-Time,,17.5,"Node.js, Docker, PostgreSQL, Java, Python, Redis",BCA
Business Analyst,,MNC,E-Commerce,,Remote,Senior (6-10 yrs),Contract,,31,"Excel, JIRA, Agile, Power BI, Requirements Gathering",BCA
DevOps Engineer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Contract,,20.5,"Terraform, Linux, CI/CD",B.Tech/B.E.
Frontend Developer,,Startup,Media & Entertainment,,Tier 1,Senior (6-10 yrs),Full-Time,,36.9,"Next.js, React, Figma",BCA
QA Engineer,,Startup,Government/PSU,,Tier 1,Mid (3-6 yrs),Full-Time,,23.4,"Manual Testing, Python, API Testing, Postman",MBA
DevOps Engineer,,Startup,Banking & Finance,,Tier 1,Junior (1-3 yrs),Full-Time,,9,"Terraform, Ansible, Docker, Kubernetes, AWS, Jenkins",BCA
Product Manager,,Indian Unicorn,Logistics,,Tier 1,Fresher (0-1 yr),Contract,,8.2,"A/B Testing, SQL, JIRA, User Research, Roadmapping",B.Tech/B.E.
Data Analyst,,PSU/Govt,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,10.2,"Excel, Data Visualization, Python, Power BI",MCA
Software Engineer,,Startup,Consulting,,Tier 1,Lead (10+ yrs),Internship,,3.4,"Data Structures, Java, Algorithms, C++, System Design, Git",B.Tech/B.E.
Backend Developer,,Indian Unicorn,Information Technology,,Tier 1,Lead (10+ yrs),Full-Time,,71.9,"Node.js, Django, MongoDB, Java, Python",B.Tech/B.E.
Backend Developer,,PSU/Govt,FinTech,,Tier 1,Fresher (0-1 yr),Full-Time,,4.6,"Node.js, Python, FastAPI, Redis, Django, MongoDB",B.Tech/B.E.
Python Developer,,Indian Unicorn,Government/PSU,,Remote,Fresher (0-1 yr),Full-Time,,7,"REST APIs, Python, AWS",B.Sc (CS/IT)
Data Scientist,,Indian Unicorn,Banking & Finance,,Tier 1,Fresher (0-1 yr),Contract,,6.8,"Deep Learning, Scikit-learn, Pandas",B.Tech/B.E.
Full Stack Developer,,MNC,Consulting,,Remote,Mid (3-6 yrs),Full-Time,,13.1,"MongoDB, REST APIs, Docker, PostgreSQL",B.Tech/B.E.
Research Scientist,,MNC,E-Commerce,,Remote,Lead (10+ yrs),Full-Time,,75.1,"Python, Deep Learning, Publications, Statistics, PyTorch",MCA
Full Stack Developer,,MNC,Automobile,,Remote,Fresher (0-1 yr),Full-Time,,5.1,"Python, MongoDB, Docker, PostgreSQL",B.Sc (CS/IT)
Data Engineer,,Startup,Information Technology,,Tier 1,Lead (10+ yrs),Full-Time,,71.6,"Kafka, AWS, Airflow",B.Tech/B.E.
Node.js Developer,,MNC,Information Technology,,Remote,Lead (10+ yrs),Full-Time,,49.3,"JavaScript, MongoDB, Node.js, Express.js, REST APIs, TypeScript",MCA
Data Scientist,,Indian Unicorn,Government/PSU,,Tier 1,Mid (3-6 yrs),Full-Time,,26.4,"Deep Learning, Scikit-learn, SQL, Python, Machine Learning",BCA
Python Developer,,Startup,FinTech,,Remote,Fresher (0-1 yr),Full-Time,,4.4,"FastAPI, Python, REST APIs, PostgreSQL",B.Tech/B.E.
Computer Vision Engineer,,Indian Unicorn,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,19.7,"YOLO, Deep Learning, Python, TensorFlow, PyTorch",B.Sc (CS/IT)
Backend Developer,,Indian Unicorn,E-Commerce,,Remote,Fresher (0-1 yr),Full-Time,,7.8,"Java, Redis, MongoDB",B.Sc (CS/IT)
Full Stack Developer,,PSU/Govt,FinTech,,Tier 1,Mid (3-6 yrs),Part-Time,,13.6,"React, REST APIs, Python, MongoDB, Docker, PostgreSQL",MCA
AI Engineer,,Startup,Media & Entertainment,,Remote,Fresher (0-1 yr),Full-Time,,6.2,"LLMs, Python, Prompt Engineering, Vector DBs, NLP, OpenAI API",B.Tech/B.E.
Android Developer,,Startup,Information Technology,,Remote,Fresher (0-1 yr),Internship,,3.4,"REST APIs, Android SDK, Kotlin, Firebase",M.Tech/M.E.
NLP Engineer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,22.9,"SpaCy, Transformers, HuggingFace, TensorFlow",MCA
Backend Developer,,MNC,EdTech,,Remote,Mid (3-6 yrs),Full-Time,,16.6,"Redis, MongoDB, FastAPI, Docker",B.Tech/B.E.
Data Engineer,,PSU/Govt,FinTech,,Tier 2,Mid (3-6 yrs),Internship,,2.4,"AWS, ETL, dbt",M.Tech/M.E.
React Developer,,MNC,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,22.7,"React, HTML/CSS, TypeScript",PhD
AI Engineer,,Startup,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,56.2,"Vector DBs, NLP, RAG, OpenAI API, Python",M.Tech/M.E.
UI/UX Designer,,Indian Unicorn,E-Commerce,,Remote,Fresher (0-1 yr),Full-Time,,8,"Wireframing, Adobe XD, User Research",MCA
UI/UX Designer,,Startup,Government/PSU,,Tier 1,Fresher (0-1 yr),Part-Time,,5.3,"Wireframing, Figma, CSS, User Research, Prototyping",BCA
QA Engineer,,MNC,EdTech,,Tier 1,Mid (3-6 yrs),Part-Time,,16.4,"Selenium, Manual Testing, API Testing, Postman",MCA
Software Engineer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,32,"REST APIs, Python, Git, C++",M.Tech/M.E.
Full Stack Developer,,Indian Unicorn,Information Technology,,Tier 1,Junior (1-3 yrs),Internship,,1.5,"AWS, REST APIs, Node.js, PostgreSQL, React, Docker",BCA
Android Developer,,MNC,Information Technology,,Tier 1,Fresher (0-1 yr),Contract,,5.6,"Kotlin, REST APIs, Java, Firebase, Jetpack Compose, Android SDK",MCA
Machine Learning Engineer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,23.2,"Docker, Kubernetes, Python, PyTorch, TensorFlow, AWS",BCA
Full Stack Developer,,PSU/Govt,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,7.1,"React, Node.js, REST APIs",B.Sc (CS/IT)
Backend Developer,,MNC,Consulting,,Tier 1,Junior (1-3 yrs),Contract,,13.4,"MongoDB, PostgreSQL, Node.js, FastAPI",MBA
Frontend Developer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,10.2,"Figma, React, HTML/CSS",B.Sc (CS/IT)
Data Analyst,,Startup,FinTech,,Remote,Senior (6-10 yrs),Full-Time,,36.1,"SQL, Statistics, Tableau, Power BI",B.Tech/B.E.
Frontend Developer,,MNC,FinTech,,Remote,Junior (1-3 yrs),Full-Time,,7.4,"Next.js, HTML/CSS, Tailwind CSS, Figma",PhD
Android Developer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,17.5,"Java, Jetpack Compose, Android SDK, Kotlin",B.Tech/B.E.
DevOps Engineer,,Indian Unicorn,Logistics,,Tier 1,Senior (6-10 yrs),Full-Time,,40,"Docker, Jenkins, Kubernetes, Ansible",B.Tech/B.E.
Backend Developer,,Indian Unicorn,EdTech,,Remote,Fresher (0-1 yr),Part-Time,,6.9,"Node.js, Redis, Python",BCA
Cloud Engineer,,Indian Unicorn,Banking & Finance,,Remote,Junior (1-3 yrs),Full-Time,,14.8,"AWS, GCP, Terraform, Azure, Linux",B.Sc (CS/IT)
Power BI Developer,,MNC,Media & Entertainment,,Tier 1,Mid (3-6 yrs),Full-Time,,22.4,"Excel, SQL, Power BI, ETL, DAX",M.Tech/M.E.
Machine Learning Engineer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,24,"MLOps, Python, Docker, Scikit-learn, TensorFlow, AWS",M.Tech/M.E.
AI Engineer,,PSU/Govt,Retail,,Tier 2,Fresher (0-1 yr),Full-Time,,4.4,"LangChain, NLP, LLMs",B.Sc (CS/IT)
Python Developer,,Startup,EdTech,,Tier 1,Mid (3-6 yrs),Full-Time,,26.5,"Django, FastAPI, REST APIs, PostgreSQL, Docker",M.Tech/M.E.
Business Analyst,,MNC,Government/PSU,,Tier 2,Junior (1-3 yrs),Full-Time,,7.3,"Requirements Gathering, Excel, JIRA",M.Tech/M.E.
Python Developer,,MNC,Information Technology,,Remote,Lead (10+ yrs),Full-Time,,45.1,"Python, AWS, REST APIs, FastAPI, Django, PostgreSQL",B.Com + Certification
Cloud Engineer,,MNC,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,15.3,"Linux, AWS, Docker, Azure, Kubernetes",B.Tech/B.E.
QA Engineer,,Startup,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,6,"Python, Postman, Selenium, Manual Testing, JIRA, API Testing",B.Tech/B.E.
Node.js Developer,,MNC,Government/PSU,,Tier 1,Lead (10+ yrs),Full-Time,,47.1,"MongoDB, TypeScript, Node.js, JavaScript, REST APIs",B.Com + Certification
AI Engineer,,MNC,Consulting,,Remote,Fresher (0-1 yr),Full-Time,,7.8,"LangChain, Vector DBs, NLP, OpenAI API, LLMs, Python",B.Tech/B.E.
Data Engineer,,Startup,Banking & Finance,,Remote,Junior (1-3 yrs),Full-Time,,10.8,"Kafka, dbt, Spark, SQL, Python",B.Tech/B.E.
Blockchain Developer,,Startup,Consulting,,Tier 2,Mid (3-6 yrs),Full-Time,,20.7,"Smart Contracts, Solidity, Ethereum, Python",B.Tech/B.E.
Android Developer,,MNC,Information Technology,,Tier 2,Fresher (0-1 yr),Full-Time,,4.6,"Kotlin, Jetpack Compose, Java, Android SDK, REST APIs, Firebase",B.Tech/B.E.
AI Engineer,,Indian Unicorn,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,28.1,"RAG, Vector DBs, LLMs, Prompt Engineering, NLP",B.Tech/B.E.
Data Scientist,,MNC,E-Commerce,,Tier 1,Lead (10+ yrs),Internship,,1.7,"Tableau, TensorFlow, NLP",BCA
Data Scientist,,Startup,Media & Entertainment,,Tier 1,Fresher (0-1 yr),Full-Time,,7.7,"Python, Pandas, Statistics, Machine Learning, SQL",MBA
DevOps Engineer,,Startup,E-Commerce,,Tier 2,Junior (1-3 yrs),Full-Time,,12.5,"Jenkins, Linux, AWS, Docker",B.Tech/B.E.
Data Engineer,,MNC,EdTech,,Tier 2,Mid (3-6 yrs),Full-Time,,18.5,"AWS, Kafka, dbt",B.Tech/B.E.
Power BI Developer,,Startup,EdTech,,Tier 1,Senior (6-10 yrs),Full-Time,,47.8,"Azure, SQL, Excel",BCA
Data Analyst,,Indian Unicorn,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,52.8,"Data Visualization, Tableau, Excel, SQL",MCA
Node.js Developer,,Indian Unicorn,Telecom,,Remote,Senior (6-10 yrs),Full-Time,,50.9,"REST APIs, JavaScript, Express.js",MCA
AI Engineer,,Indian Unicorn,Consulting,,Remote,Senior (6-10 yrs),Full-Time,,39,"OpenAI API, LLMs, RAG, NLP, Vector DBs, Python",B.Tech/B.E.
Backend Developer,,Startup,HealthTech,,Remote,Mid (3-6 yrs),Contract,,13.9,"FastAPI, Redis, Node.js, Java, Docker, PostgreSQL",B.Tech/B.E.
Software Engineer,,MNC,Consulting,,Tier 2,Fresher (0-1 yr),Full-Time,,4.5,"C++, Python, Algorithms, Java",M.Tech/M.E.
Data Scientist,,MNC,EdTech,,Remote,Mid (3-6 yrs),Full-Time,,22.7,"Tableau, Statistics, NLP, Deep Learning, Scikit-learn",M.Tech/M.E.
Full Stack Developer,,Indian Unicorn,Manufacturing,,Tier 1,Mid (3-6 yrs),Full-Time,,23.1,"Node.js, AWS, Docker, React",MBA
DevOps Engineer,,MNC,E-Commerce,,Tier 2,Senior (6-10 yrs),Full-Time,,31.2,"Jenkins, Kubernetes, AWS, Docker",BCA
Product Manager,,Indian Unicorn,Media & Entertainment,,Tier 1,Lead (10+ yrs),Full-Time,,85.5,"Product Strategy, Roadmapping, Agile, User Research, SQL, A/B Testing",M.Tech/M.E.
Python Developer,,Indian Unicorn,FinTech,,Remote,Fresher (0-1 yr),Contract,,8.7,"Docker, PostgreSQL, Python, Django, FastAPI",B.Tech/B.E.
Cybersecurity Analyst,,MNC,Consulting,,Remote,Senior (6-10 yrs),Full-Time,,39.6,"Ethical Hacking, SIEM, Python, Network Security, Penetration Testing",B.Com + Certification
Java Developer,,MNC,Manufacturing,,Tier 1,Mid (3-6 yrs),Full-Time,,16.6,"Maven, Hibernate, Java",BCA
Machine Learning Engineer,,Startup,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,14.4,"Kubernetes, PyTorch, Scikit-learn",MCA
Cloud Engineer,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,4.7,"Azure, Terraform, AWS, Kubernetes, Linux",B.Tech/B.E.
Data Scientist,,Startup,Consulting,,Tier 1,Fresher (0-1 yr),Full-Time,,6,"Tableau, Machine Learning, Statistics, Pandas",M.Tech/M.E.
Business Analyst,,MNC,E-Commerce,,Tier 2,Fresher (0-1 yr),Full-Time,,4.5,"Requirements Gathering, Power BI, SQL, JIRA, Agile, Excel",MCA
DevOps Engineer,,Indian Unicorn,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,22.4,"Terraform, Linux, AWS",MBA
iOS Developer,,Indian Unicorn,Telecom,,Remote,Fresher (0-1 yr),Full-Time,,7.1,"Core Data, Xcode, SwiftUI",M.Tech/M.E.
Frontend Developer,,Indian Unicorn,E-Commerce,,Tier 1,Senior (6-10 yrs),Contract,,53.2,"TypeScript, JavaScript, Tailwind CSS, React, Next.js, HTML/CSS",B.Tech/B.E.
