Role,Company_Type,Industry,Location_Tier,Job_Type,Salary_LPA,Skills_Required,Education_Required,years_avg,post
Frontend Developer,PSU/Govt,Information Technology,Tier 2,Contract,12.4,"JavaScript, Next.js, Figma, TypeScript, HTML/CSS, Tailwind CSS",B.Tech/B.E.,4.5,mid
Data Scientist,Startup,Banking & Finance,Tier 1,Full-Time,19.7,"Tableau, NLP, Scikit-learn, Python, Deep Learning, Statistics",PhD,4.5,mid
Full Stack Developer,Startup,FinTech,Tier 1,Full-Time,5.1,"PostgreSQL, AWS, Python",M.Tech/M.E.,0.5,fresher
React Developer,Startup,EdTech,Remote,Full-Time,27.1,"TypeScript, Redux, React",BCA,4.5,mid
DevOps Engineer,Startup,Information Technology,Remote,Full-Time,5.1,"AWS, Kubernetes, Docker",M.Tech/M.E.,0.5,fresher
iOS Developer,Startup,Information Technology,Tier 2,Full-Time,39.7,"Swift, REST APIs, SwiftUI",B.Tech/B.E.,8,senior
Frontend Developer,PSU/Govt,Information Technology,Remote,Full-Time,17.5,"HTML/CSS, React, Tailwind CSS",PhD,8,senior
Product Manager,Startup,FinTech,Remote,Part-Time,20.6,"Agile, Roadmapping, SQL, JIRA, A/B Testing",BCA,4.5,mid
Engineering Manager,MNC,EdTech,Remote,Internship,1.2,"System Design, People Management, Roadmapping, Agile",MCA,4.5,mid
Technical Lead,Indian Unicorn,Information Technology,Tier 1,Part-Time,11,"Team Leadership, System Design, AWS, Agile, Code Review, Microservices",MCA,2,junior
Power BI Developer,Startup,Manufacturing,Tier 2,Internship,1.1,"Power BI, Excel, ETL",B.Tech/B.E.,0.5,fresher
Machine Learning Engineer,Indian Unicorn,Banking & Finance,Remote,Full-Time,8.2,"Kubernetes, Docker, MLOps, TensorFlow",BCA,0.5,fresher
Software Engineer,Startup,EdTech,Tier 1,Internship,1.4,"Data Structures, C++, Algorithms, Git, Java, REST APIs",M.Tech/M.E.,0.5,fresher
Cybersecurity Analyst,MNC,Information Technology,Remote,Full-Time,4.3,"SIEM, Network Security, Penetration Testing, Ethical Hacking, Python",M.Tech/M.E.,0.5,fresher
Frontend Developer,MNC,Information Technology,Tier 1,Contract,9.9,"TypeScript, Figma, HTML/CSS",MCA,2,junior
React Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,20.4,"Next.js, Redux, JavaScript, React",M.Tech/M.E.,4.5,mid
Machine Learning Engineer,MNC,Information Technology,Tier 2,Full-Time,10.2,"Scikit-learn, Docker, AWS",MCA,2,junior
Data Analyst,Indian Unicorn,Logistics,Remote,Contract,20.9,"SQL, Data Visualization, Power BI",B.Tech/B.E.,4.5,mid
Engineering Manager,MNC,E-Commerce,Tier 2,Part-Time,9.6,"OKRs, System Design, People Management, Hiring, Roadmapping",B.Tech/B.E.,2,junior
MLOps Engineer,MNC,Banking & Finance,Tier 1,Full-Time,7,"CI/CD, Airflow, Docker, Python, Kubernetes, MLflow",B.Tech/B.E.,0.5,fresher
Frontend Developer,Startup,FinTech,Tier 1,Full-Time,10,"Next.js, Figma, React, Tailwind CSS, HTML/CSS",M.Tech/M.E.,2,junior
Blockchain Developer,Indian Unicorn,Information Technology,Remote,Full-Time,15.9,"Ethereum, Solidity, Web3.js",MCA,2,junior
Software Engineer,Startup,Information Technology,Tier 1,Full-Time,51,"Data Structures, Git, System Design, Java, Algorithms, REST APIs",MCA,8,senior
Software Engineer,MNC,Media & Entertainment,Remote,Full-Time,18.4,"Python, Java, C++, System Design, Algorithms, Git",B.Tech/B.E.,4.5,mid
React Developer,MNC,Consulting,Tier 1,Part-Time,7.9,"JavaScript, HTML/CSS, Next.js, React, TypeScript, Redux",BCA,2,junior
iOS Developer,Indian Unicorn,EdTech,Tier 2,Full-Time,66.3,"REST APIs, SwiftUI, Firebase",M.Tech/M.E.,10,lead
Android Developer,Startup,Information Technology,Tier 1,Full-Time,6.6,"Jetpack Compose, Java, Firebase, Kotlin, REST APIs, Android SDK",B.Tech/B.E.,0.5,fresher
React Developer,MNC,Manufacturing,Tier 1,Full-Time,17,"React, Redux, TypeScript, Next.js",M.Tech/M.E.,4.5,mid
Backend Developer,PSU/Govt,Information Technology,Tier 1,Full-Time,20.6,"Django, Redis, FastAPI, Docker, PostgreSQL, Python",B.Tech/B.E.,10,lead
Machine Learning Engineer,PSU/Govt,FinTech,Tier 2,Full-Time,20.5,"Scikit-learn, Docker, MLOps, PyTorch",M.Tech/M.E.,8,senior
Software Engineer,MNC,Information Technology,Tier 1,Full-Time,11.6,"REST APIs, Data Structures, System Design, C++, Algorithms, Git",M.Tech/M.E.,2,junior
Business Analyst,Startup,Information Technology,Tier 2,Full-Time,72.5,"SQL, Requirements Gathering, Agile, Excel",MCA,10,lead
Java Developer,PSU/Govt,HealthTech,Remote,Full-Time,15.4,"Microservices, Spring Boot, SQL, Java, Hibernate",MCA,8,senior
Node.js Developer,PSU/Govt,Information Technology,Remote,Full-Time,11.9,"Express.js, Node.js, MongoDB, REST APIs",B.Tech/B.E.,4.5,mid
React Developer,MNC,Logistics,Tier 1,Full-Time,28.8,"Next.js, HTML/CSS, JavaScript, React, Redux",B.Tech/B.E.,8,senior
Power BI Developer,Startup,Automobile,Remote,Full-Time,18,"ETL, Azure, Excel",B.Tech/B.E.,4.5,mid
Research Scientist,MNC,Banking & Finance,Remote,Full-Time,7.2,"PyTorch, Publications, NLP, R, Deep Learning, Statistics",M.Tech/M.E.,0.5,fresher
Blockchain Developer,Indian Unicorn,E-Commerce,Tier 1,Full-Time,21.3,"Python, Ethereum, Solidity, Web3.js",B.Tech/B.E.,4.5,mid
Machine Learning Engineer,PSU/Govt,Information Technology,Tier 1,Full-Time,7.4,"TensorFlow, Scikit-learn, Kubernetes, AWS",B.Sc (CS/IT),2,junior
Java Developer,MNC,Information Technology,Remote,Full-Time,3.6,"Microservices, SQL, Spring Boot, Java, REST APIs",B.Tech/B.E.,0.5,fresher
Data Scientist,Indian Unicorn,Consulting,Tier 2,Full-Time,65.2,"Python, Statistics, Tableau, NLP",B.Tech/B.E.,8,senior
Java Developer,Indian Unicorn,HealthTech,Tier 1,Internship,2.9,"Maven, SQL, Java, Spring Boot, REST APIs, Microservices",B.Tech/B.E.,2,junior
Data Analyst,Startup,Telecom,Tier 1,Full-Time,11.7,"Data Visualization, Excel, SQL",B.Tech/B.E.,2,junior
Data Scientist,MNC,Information Technology,Tier 1,Contract,6.7,"Statistics, Machine Learning, Tableau, NLP",B.Sc (CS/IT),0.5,fresher
Software Engineer,Startup,Information Technology,Tier 1,Contract,17.2,"REST APIs, Data Structures, C++, Git",B.Tech/B.E.,4.5,mid
Data Analyst,MNC,Information Technology,Tier 1,Full-Time,5,"SQL, Power BI, Data Visualization",B.Tech/B.E.,0.5,fresher
Full Stack Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,11.7,"Node.js, PostgreSQL, Python, MongoDB, Docker, React",B.Tech/B.E.,2,junior
iOS Developer,Startup,Information Technology,Remote,Full-Time,16.3,"REST APIs, Swift, Xcode, Firebase, SwiftUI, Core Data",B.Tech/B.E.,4.5,mid
Software Engineer,Startup,Banking & Finance,Tier 1,Full-Time,20.6,"Algorithms, REST APIs, Git, System Design",B.Tech/B.E.,4.5,mid
Machine Learning Engineer,MNC,Banking & Finance,Remote,Full-Time,26.5,"TensorFlow, Docker, AWS, Scikit-learn",B.Tech/B.E.,4.5,mid
Cloud Engineer,MNC,FinTech,Tier 2,Full-Time,24.9,"Terraform, Docker, AWS, Azure, Linux, Kubernetes",MCA,8,senior
Software Engineer,Startup,E-Commerce,Tier 1,Full-Time,10.1,"Python, Data Structures, Git, Java, C++, REST APIs",PhD,2,junior
Backend Developer,MNC,HealthTech,Tier 2,Full-Time,8.3,"Node.js, Django, PostgreSQL, MongoDB, Python, Redis",B.Tech/B.E.,2,junior
Software Engineer,Startup,E-Commerce,Tier 1,Contract,5.2,"Java, REST APIs, System Design",B.Tech/B.E.,0.5,fresher
Software Engineer,Startup,Government/PSU,Tier 2,Full-Time,13.9,"REST APIs, Git, Python, Algorithms, Java, Data Structures",B.Sc (CS/IT),2,junior
Java Developer,MNC,E-Commerce,Tier 2,Contract,9.5,"Spring Boot, Java, Maven, REST APIs, Microservices",MCA,2,junior
DevOps Engineer,PSU/Govt,Information Technology,Tier 2,Internship,2.5,"Jenkins, Linux, Kubernetes, AWS, Docker",B.Tech/B.E.,4.5,mid
Java Developer,MNC,EdTech,Remote,Full-Time,20.1,"Maven, SQL, Hibernate",MCA,4.5,mid
Backend Developer,Indian Unicorn,Gaming,Tier 1,Full-Time,20,"Python, Docker, Java, Redis, Node.js",M.Tech/M.E.,4.5,mid
Java Developer,MNC,Media & Entertainment,Remote,Full-Time,54.5,"Microservices, Hibernate, Java, REST APIs, Spring Boot",M.Tech/M.E.,10,lead
Backend Developer,MNC,Manufacturing,Tier 1,Full-Time,17.4,"Redis, MongoDB, PostgreSQL, FastAPI, Node.js",M.Tech/M.E.,4.5,mid
React Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,73,"JavaScript, Next.js, HTML/CSS, TypeScript, Redux",MCA,10,lead
Android Developer,Indian Unicorn,Information Technology,Tier 1,Internship,2.8,"Java, Firebase, Kotlin, Jetpack Compose",B.Tech/B.E.,4.5,mid
Data Analyst,Startup,EdTech,Tier 1,Internship,1.7,"Data Visualization, Power BI, Excel, Statistics, Tableau",MCA,8,senior
Frontend Developer,Startup,Banking & Finance,Tier 1,Full-Time,37,"Next.js, JavaScript, React",B.Tech/B.E.,8,senior
Software Engineer,MNC,FinTech,Remote,Full-Time,11.4,"Data Structures, Git, Algorithms, System Design, Python",B.Tech/B.E.,2,junior
Product Manager,Startup,HealthTech,Tier 1,Contract,5,"User Research, Roadmapping, A/B Testing, Product Strategy, Agile",B.Sc (CS/IT),0.5,fresher
Data Analyst,MNC,Information Technology,Tier 1,Part-Time,3.9,"Tableau, Power BI, Data Visualization, SQL",B.Tech/B.E.,0.5,fresher
AI Engineer,PSU/Govt,Information Technology,Remote,Full-Time,11.7,"NLP, RAG, OpenAI API, Vector DBs",M.Tech/M.E.,4.5,mid
Python Developer,MNC,Information Technology,Tier 1,Full-Time,9,"PostgreSQL, AWS, REST APIs, Python, Django, FastAPI",MBA,2,junior
Data Scientist,MNC,Gaming,Tier 1,Part-Time,64.9,"Deep Learning, NLP, TensorFlow, Python, Tableau",MBA,10,lead
Software Engineer,Startup,Gaming,Tier 1,Full-Time,66,"Algorithms, Java, System Design",MBA,10,lead
Backend Developer,PSU/Govt,EdTech,Tier 2,Internship,2.8,"Node.js, PostgreSQL, Python",M.Tech/M.E.,2,junior
Frontend Developer,MNC,E-Commerce,Remote,Full-Time,5.1,"TypeScript, Figma, HTML/CSS, Tailwind CSS",BCA,0.5,fresher
Product Manager,Startup,Banking & Finance,Remote,Contract,38.6,"JIRA, Roadmapping, User Research, Product Strategy",BCA,8,senior
Node.js Developer,Indian Unicorn,Information Technology,Remote,Full-Time,17.8,"Express.js, JavaScript, REST APIs, Node.js, TypeScript, MongoDB",B.Tech/B.E.,4.5,mid
Java Developer,MNC,HealthTech,Tier 2,Internship,1.8,"Microservices, Hibernate, Maven, Spring Boot",B.Tech/B.E.,0.5,fresher
Software Engineer,PSU/Govt,Information Technology,Tier 1,Part-Time,4,"Algorithms, Python, Java, C++, Git, System Design",M.Tech/M.E.,0.5,fresher
iOS Developer,MNC,Information Technology,Tier 1,Internship,2.9,"Swift, REST APIs, Firebase",B.Com + Certification,2,junior
Java Developer,Startup,EdTech,Tier 1,Contract,24.7,"Maven, Microservices, Java, SQL, Hibernate",PhD,4.5,mid
Computer Vision Engineer,MNC,Media & Entertainment,Remote,Full-Time,32.6,"TensorFlow, OpenCV, Deep Learning",B.Tech/B.E.,8,senior
Software Engineer,MNC,Government/PSU,Tier 1,Full-Time,3.8,"REST APIs, Java, System Design, Data Structures, Algorithms",B.Tech/B.E.,0.5,fresher
MLOps Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,8.4,"Docker, Airflow, MLflow",M.Tech/M.E.,0.5,fresher
React Developer,MNC,E-Commerce,Remote,Internship,0.8,"Redux, HTML/CSS, TypeScript, Next.js",B.Tech/B.E.,8,senior
Data Scientist,MNC,FinTech,Remote,Full-Time,16.1,"TensorFlow, Tableau, Python, NLP, Scikit-learn",M.Tech/M.E.,4.5,mid
Product Manager,MNC,E-Commerce,Remote,Full-Time,10.7,"User Research, SQL, Product Strategy, JIRA",B.Tech/B.E.,2,junior
Backend Developer,Indian Unicorn,Information Technology,Remote,Full-Time,10.1,"MongoDB, Java, PostgreSQL, Redis, Python, FastAPI",B.Tech/B.E.,2,junior
Node.js Developer,Startup,FinTech,Tier 2,Full-Time,11.6,"MongoDB, Node.js, REST APIs, Express.js",MCA,2,junior
Power BI Developer,Indian Unicorn,Manufacturing,Tier 1,Full-Time,11.4,"DAX, Power BI, Azure, Data Modeling",B.Tech/B.E.,2,junior
Backend Developer,Startup,Banking & Finance,Tier 2,Full-Time,17.5,"Node.js, Docker, PostgreSQL, Java, Python, Redis",BCA,4.5,mid
Business Analyst,MNC,E-Commerce,Remote,Contract,31,"Excel, JIRA, Agile, Power BI, Requirements Gathering",BCA,8,senior
DevOps Engineer,MNC,Information Technology,Tier 1,Contract,20.5,"Terraform, Linux, CI/CD",B.Tech/B.E.,4.5,mid
Frontend Developer,Startup,Media & Entertainment,Tier 1,Full-Time,36.9,"Next.js, React, Figma",BCA,8,senior
QA Engineer,Startup,Government/PSU,Tier 1,Full-Time,23.4,"Manual Testing, Python, API Testing, Postman",MBA,4.5,mid
DevOps Engineer,Startup,Banking & Finance,Tier 1,Full-Time,9,"Terraform, Ansible, Docker, Kubernetes, AWS, Jenkins",BCA,2,junior
Product Manager,Indian Unicorn,Logistics,Tier 1,Contract,8.2,"A/B Testing, SQL, JIRA, User Research, Roadmapping",B.Tech/B.E.,0.5,fresher
Data Analyst,PSU/Govt,Banking & Finance,Remote,Full-Time,10.2,"Excel, Data Visualization, Python, Power BI",MCA,4.5,mid
Software Engineer,Startup,Consulting,Tier 1,Internship,3.4,"Data Structures, Java, Algorithms, C++, System Design, Git",B.Tech/B.E.,10,lead
Backend Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,71.9,"Node.js, Django, MongoDB, Java, Python",B.Tech/B.E.,10,lead
Backend Developer,PSU/Govt,FinTech,Tier 1,Full-Time,4.6,"Node.js, Python, FastAPI, Redis, Django, MongoDB",B.Tech/B.E.,0.5,fresher
Python Developer,Indian Unicorn,Government/PSU,Remote,Full-Time,7,"REST APIs, Python, AWS",B.Sc (CS/IT),0.5,fresher
Data Scientist,Indian Unicorn,Banking & Finance,Tier 1,Contract,6.8,"Deep Learning, Scikit-learn, Pandas",B.Tech/B.E.,0.5,fresher
Full Stack Developer,MNC,Consulting,Remote,Full-Time,13.1,"MongoDB, REST APIs, Docker, PostgreSQL",B.Tech/B.E.,4.5,mid
Research Scientist,MNC,E-Commerce,Remote,Full-Time,75.1,"Python, Deep Learning, Publications, Statistics, PyTorch",MCA,10,lead
Full Stack Developer,MNC,Automobile,Remote,Full-Time,5.1,"Python, MongoDB, Docker, PostgreSQL",B.Sc (CS/IT),0.5,fresher
Data Engineer,Startup,Information Technology,Tier 1,Full-Time,71.6,"Kafka, AWS, Airflow",B.Tech/B.E.,10,lead
Node.js Developer,MNC,Information Technology,Remote,Full-Time,49.3,"JavaScript, MongoDB, Node.js, Express.js, REST APIs, TypeScript",MCA,10,lead
Data Scientist,Indian Unicorn,Government/PSU,Tier 1,Full-Time,26.4,"Deep Learning, Scikit-learn, SQL, Python, Machine Learning",BCA,4.5,mid
Python Developer,Startup,FinTech,Remote,Full-Time,4.4,"FastAPI, Python, REST APIs, PostgreSQL",B.Tech/B.E.,0.5,fresher
Computer Vision Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,19.7,"YOLO, Deep Learning, Python, TensorFlow, PyTorch",B.Sc (CS/IT),2,junior
Backend Developer,Indian Unicorn,E-Commerce,Remote,Full-Time,7.8,"Java, Redis, MongoDB",B.Sc (CS/IT),0.5,fresher
Full Stack Developer,PSU/Govt,FinTech,Tier 1,Part-Time,13.6,"React, REST APIs, Python, MongoDB, Docker, PostgreSQL",MCA,4.5,mid
AI Engineer,Startup,Media & Entertainment,Remote,Full-Time,6.2,"LLMs, Python, Prompt Engineering, Vector DBs, NLP, OpenAI API",B.Tech/B.E.,0.5,fresher
Android Developer,Startup,Information Technology,Remote,Internship,3.4,"REST APIs, Android SDK, Kotlin, Firebase",M.Tech/M.E.,0.5,fresher
NLP Engineer,MNC,Information Technology,Tier 1,Full-Time,22.9,"SpaCy, Transformers, HuggingFace, TensorFlow",MCA,4.5,mid
Backend Developer,MNC,EdTech,Remote,Full-Time,16.6,"Redis, MongoDB, FastAPI, Docker",B.Tech/B.E.,4.5,mid
Data Engineer,PSU/Govt,FinTech,Tier 2,Internship,2.4,"AWS, ETL, dbt",M.Tech/M.E.,4.5,mid
React Developer,MNC,Banking & Finance,Remote,Full-Time,22.7,"React, HTML/CSS, TypeScript",PhD,4.5,mid
AI Engineer,Startup,Information Technology,Remote,Full-Time,56.2,"Vector DBs, NLP, RAG, OpenAI API, Python",M.Tech/M.E.,8,senior
UI/UX Designer,Indian Unicorn,E-Commerce,Remote,Full-Time,8,"Wireframing, Adobe XD, User Research",MCA,0.5,fresher
UI/UX Designer,Startup,Government/PSU,Tier 1,Part-Time,5.3,"Wireframing, Figma, CSS, User Research, Prototyping",BCA,0.5,fresher
QA Engineer,MNC,EdTech,Tier 1,Part-Time,16.4,"Selenium, Manual Testing, API Testing, Postman",MCA,4.5,mid
Software Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,32,"REST APIs, Python, Git, C++",M.Tech/M.E.,4.5,mid
Full Stack Developer,Indian Unicorn,Information Technology,Tier 1,Internship,1.5,"AWS, REST APIs, Node.js, PostgreSQL, React, Docker",BCA,2,junior
Android Developer,MNC,Information Technology,Tier 1,Contract,5.6,"Kotlin, REST APIs, Java, Firebase, Jetpack Compose, Android SDK",MCA,0.5,fresher
Machine Learning Engineer,MNC,Information Technology,Remote,Full-Time,23.2,"Docker, Kubernetes, Python, PyTorch, TensorFlow, AWS",BCA,4.5,mid
Full Stack Developer,PSU/Govt,Information Technology,Tier 1,Full-Time,7.1,"React, Node.js, REST APIs",B.Sc (CS/IT),2,junior
Backend Developer,MNC,Consulting,Tier 1,Contract,13.4,"MongoDB, PostgreSQL, Node.js, FastAPI",MBA,2,junior
Frontend Developer,Startup,Information Technology,Remote,Full-Time,10.2,"Figma, React, HTML/CSS",B.Sc (CS/IT),2,junior
Data Analyst,Startup,FinTech,Remote,Full-Time,36.1,"SQL, Statistics, Tableau, Power BI",B.Tech/B.E.,8,senior
Frontend Developer,MNC,FinTech,Remote,Full-Time,7.4,"Next.js, HTML/CSS, Tailwind CSS, Figma",PhD,2,junior
Android Developer,MNC,Information Technology,Remote,Full-Time,17.5,"Java, Jetpack Compose, Android SDK, Kotlin",B.Tech/B.E.,4.5,mid
DevOps Engineer,Indian Unicorn,Logistics,Tier 1,Full-Time,40,"Docker, Jenkins, Kubernetes, Ansible",B.Tech/B.E.,8,senior
Backend Developer,Indian Unicorn,EdTech,Remote,Part-Time,6.9,"Node.js, Redis, Python",BCA,0.5,fresher
Cloud Engineer,Indian Unicorn,Banking & Finance,Remote,Full-Time,14.8,"AWS, GCP, Terraform, Azure, Linux",B.Sc (CS/IT),2,junior
Power BI Developer,MNC,Media & Entertainment,Tier 1,Full-Time,22.4,"Excel, SQL, Power BI, ETL, DAX",M.Tech/M.E.,4.5,mid
Machine Learning Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,24,"MLOps, Python, Docker, Scikit-learn, TensorFlow, AWS",M.Tech/M.E.,4.5,mid
AI Engineer,PSU/Govt,Retail,Tier 2,Full-Time,4.4,"LangChain, NLP, LLMs",B.Sc (CS/IT),0.5,fresher
Python Developer,Startup,EdTech,Tier 1,Full-Time,26.5,"Django, FastAPI, REST APIs, PostgreSQL, Docker",M.Tech/M.E.,4.5,mid
Business Analyst,MNC,Government/PSU,Tier 2,Full-Time,7.3,"Requirements Gathering, Excel, JIRA",M.Tech/M.E.,2,junior
Python Developer,MNC,Information Technology,Remote,Full-Time,45.1,"Python, AWS, REST APIs, FastAPI, Django, PostgreSQL",B.Com + Certification,10,lead
Cloud Engineer,MNC,FinTech,Remote,Full-Time,15.3,"Linux, AWS, Docker, Azure, Kubernetes",B.Tech/B.E.,4.5,mid
QA Engineer,Startup,Information Technology,Remote,Full-Time,6,"Python, Postman, Selenium, Manual Testing, JIRA, API Testing",B.Tech/B.E.,0.5,fresher
Node.js Developer,MNC,Government/PSU,Tier 1,Full-Time,47.1,"MongoDB, TypeScript, Node.js, JavaScript, REST APIs",B.Com + Certification,10,lead
AI Engineer,MNC,Consulting,Remote,Full-Time,7.8,"LangChain, Vector DBs, NLP, OpenAI API, LLMs, Python",B.Tech/B.E.,0.5,fresher
Data Engineer,Startup,Banking & Finance,Remote,Full-Time,10.8,"Kafka, dbt, Spark, SQL, Python",B.Tech/B.E.,2,junior
Blockchain Developer,Startup,Consulting,Tier 2,Full-Time,20.7,"Smart Contracts, Solidity, Ethereum, Python",B.Tech/B.E.,4.5,mid
Android Developer,MNC,Information Technology,Tier 2,Full-Time,4.6,"Kotlin, Jetpack Compose, Java, Android SDK, REST APIs, Firebase",B.Tech/B.E.,0.5,fresher
AI Engineer,Indian Unicorn,FinTech,Remote,Full-Time,28.1,"RAG, Vector DBs, LLMs, Prompt Engineering, NLP",B.Tech/B.E.,4.5,mid
Data Scientist,MNC,E-Commerce,Tier 1,Internship,1.7,"Tableau, TensorFlow, NLP",BCA,10,lead
Data Scientist,Startup,Media & Entertainment,Tier 1,Full-Time,7.7,"Python, Pandas, Statistics, Machine Learning, SQL",MBA,0.5,fresher
DevOps Engineer,Startup,E-Commerce,Tier 2,Full-Time,12.5,"Jenkins, Linux, AWS, Docker",B.Tech/B.E.,2,junior
Data Engineer,MNC,EdTech,Tier 2,Full-Time,18.5,"AWS, Kafka, dbt",B.Tech/B.E.,4.5,mid
Power BI Developer,Startup,EdTech,Tier 1,Full-Time,47.8,"Azure, SQL, Excel",BCA,8,senior
Data Analyst,Indian Unicorn,Information Technology,Remote,Full-Time,52.8,"Data Visualization, Tableau, Excel, SQL",MCA,8,senior
Node.js Developer,Indian Unicorn,Telecom,Remote,Full-Time,50.9,"REST APIs, JavaScript, Express.js",MCA,8,senior
AI Engineer,Indian Unicorn,Consulting,Remote,Full-Time,39,"OpenAI API, LLMs, RAG, NLP, Vector DBs, Python",B.Tech/B.E.,8,senior
Backend Developer,Startup,HealthTech,Remote,Contract,13.9,"FastAPI, Redis, Node.js, Java, Docker, PostgreSQL",B.Tech/B.E.,4.5,mid
Software Engineer,MNC,Consulting,Tier 2,Full-Time,4.5,"C++, Python, Algorithms, Java",M.Tech/M.E.,0.5,fresher
Data Scientist,MNC,EdTech,Remote,Full-Time,22.7,"Tableau, Statistics, NLP, Deep Learning, Scikit-learn",M.Tech/M.E.,4.5,mid
Full Stack Developer,Indian Unicorn,Manufacturing,Tier 1,Full-Time,23.1,"Node.js, AWS, Docker, React",MBA,4.5,mid
DevOps Engineer,MNC,E-Commerce,Tier 2,Full-Time,31.2,"Jenkins, Kubernetes, AWS, Docker",BCA,8,senior
Product Manager,Indian Unicorn,Media & Entertainment,Tier 1,Full-Time,85.5,"Product Strategy, Roadmapping, Agile, User Research, SQL, A/B Testing",M.Tech/M.E.,10,lead
Python Developer,Indian Unicorn,FinTech,Remote,Contract,8.7,"Docker, PostgreSQL, Python, Django, FastAPI",B.Tech/B.E.,0.5,fresher
Cybersecurity Analyst,MNC,Consulting,Remote,Full-Time,39.6,"Ethical Hacking, SIEM, Python, Network Security, Penetration Testing",B.Com + Certification,8,senior
Java Developer,MNC,Manufacturing,Tier 1,Full-Time,16.6,"Maven, Hibernate, Java",BCA,4.5,mid
Machine Learning Engineer,Startup,Information Technology,Tier 1,Full-Time,14.4,"Kubernetes, PyTorch, Scikit-learn",MCA,2,junior
Cloud Engineer,MNC,Information Technology,Remote,Full-Time,4.7,"Azure, Terraform, AWS, Kubernetes, Linux",B.Tech/B.E.,0.5,fresher
Data Scientist,Startup,Consulting,Tier 1,Full-Time,6,"Tableau, Machine Learning, Statistics, Pandas",M.Tech/M.E.,0.5,fresher
Business Analyst,MNC,E-Commerce,Tier 2,Full-Time,4.5,"Requirements Gathering, Power BI, SQL, JIRA, Agile, Excel",MCA,0.5,fresher
DevOps Engineer,Indian Unicorn,Information Technology,Remote,Full-Time,22.4,"Terraform, Linux, AWS",MBA,4.5,mid
iOS Developer,Indian Unicorn,Telecom,Remote,Full-Time,7.1,"Core Data, Xcode, SwiftUI",M.Tech/M.E.,0.5,fresher
Frontend Developer,Indian Unicorn,E-Commerce,Tier 1,Contract,53.2,"TypeScript, JavaScript, Tailwind CSS, React, Next.js, HTML/CSS",B.Tech/B.E.,8,senior
Business Analyst,Indian Unicorn,Banking & Finance,Tier 1,Full-Time,6.1,"Excel, Requirements Gathering, JIRA, SQL, Agile",B.Sc (CS/IT),0.5,fresher
Frontend Developer,PSU/Govt,Information Technology,Remote,Full-Time,12.2,"Tailwind CSS, React, TypeScript, HTML/CSS, JavaScript",MCA,4.5,mid
Software Engineer,Startup,Manufacturing,Tier 1,Full-Time,11.2,"Algorithms, Java, REST APIs, Git, C++, Python",B.Tech/B.E.,2,junior
Data Analyst,Indian Unicorn,Banking & Finance,Tier 1,Full-Time,40.6,"Python, Data Visualization, SQL, Statistics, Tableau, Excel",B.Tech/B.E.,8,senior
Cloud Engineer,PSU/Govt,Consulting,Tier 1,Full-Time,3.9,"Azure, Docker, Linux",PhD,0.5,fresher
Backend Developer,Indian Unicorn,EdTech,Remote,Full-Time,40.8,"MongoDB, Node.js, Redis, Java",BCA,8,senior
Full Stack Developer,MNC,E-Commerce,Tier 1,Contract,18.6,"PostgreSQL, Docker, REST APIs, AWS",B.Tech/B.E.,4.5,mid
Cybersecurity Analyst,MNC,Gaming,Tier 2,Contract,31.6,"Python, Penetration Testing, Ethical Hacking",B.Tech/B.E.,8,senior
Business Analyst,MNC,Information Technology,Tier 1,Full-Time,47.5,"SQL, Agile, Excel",BCA,10,lead
Product Manager,Startup,HealthTech,Tier 1,Contract,4.9,"Product Strategy, User Research, SQL, A/B Testing, Agile, JIRA",B.Tech/B.E.,0.5,fresher
Software Engineer,Startup,Information Technology,Tier 1,Full-Time,11.3,"System Design, Python, REST APIs, Algorithms, C++",BCA,2,junior
Android Developer,MNC,HealthTech,Tier 2,Full-Time,12.1,"Firebase, Kotlin, REST APIs, Java",M.Tech/M.E.,2,junior
Engineering Manager,Startup,FinTech,Tier 2,Internship,3.1,"People Management, Hiring, Roadmapping, OKRs, System Design",M.Tech/M.E.,4.5,mid
DevOps Engineer,MNC,Consulting,Remote,Full-Time,10.8,"Docker, AWS, CI/CD",M.Tech/M.E.,2,junior
Python Developer,Indian Unicorn,Banking & Finance,Tier 1,Full-Time,7.7,"PostgreSQL, Python, Docker, REST APIs",MCA,0.5,fresher
Business Analyst,Startup,HealthTech,Tier 1,Full-Time,26.6,"Excel, SQL, Agile, JIRA, Requirements Gathering, Power BI",MBA,4.5,mid
Machine Learning Engineer,Indian Unicorn,Media & Entertainment,Tier 1,Full-Time,10,"Docker, MLOps, Scikit-learn, Python",B.Tech/B.E.,0.5,fresher
Android Developer,Indian Unicorn,E-Commerce,Remote,Contract,7.5,"Kotlin, Android SDK, Java",M.Tech/M.E.,0.5,fresher
Full Stack Developer,Startup,Information Technology,Remote,Full-Time,11.9,"PostgreSQL, Node.js, React, AWS",MCA,2,junior
